Citra,LuasInti,KelilingInti,SolidityInti,GranularityInti,CircularityInti,RerataRInti,RerataGInti,RerataBInti,EntropiInti,EnergiInti,KontrasInti,HomogenitasInti,LuasSitoplasma,KelilingSitoplasma,SoliditySitoplasma,GranularitySitoplasma,CircularitySitoplasma,RerataRSitoplasma,RerataGSitoplasma,RerataBSitoplasma,EntropiSitoplasma,EnergiSitoplasma,KontrasSitoplasma,HomogenitasSitoplasma,LuasNormalInti,KelilingNormalInti,Eccentricity,LIperLP ,KIperKP
Monosit,144230,4983,0.311218,115.101227,0.072993,105.564217,4.051518,71.651703,1.408299,0.293176,62.04174,0.812053,176144,5466,0.323272,68.922119,0.074086,23.057981,12.804134,18.313541,0.461397,0.799966,204.258865,0.934551,0.457455,2.2127,0.775315,0.818819,0.911636
Monosit,120769,4722,0.302241,114.297546,0.068063,107.598358,4.299548,73.606781,1.464602,0.278557,74.823486,0.799998,153249,6027,0.320412,76.936127,0.053016,29.262537,16.970461,23.601412,0.54811,0.753594,257.620331,0.921564,0.470761,2.330701,0.720902,0.788057,0.783474
Monosit,125271,4026,0.32175,114.509506,0.097121,104.580048,4.669157,67.867912,1.373878,0.296524,62.962505,0.820726,145413,4032,0.32684,59.402176,0.112401,16.682991,9.985749,13.509979,0.338175,0.8525,179.787094,0.954369,0.455425,1.908057,0.797356,0.861484,0.998512
Monosit,155303,4344,0.322598,116.759987,0.103421,112.267311,15.368285,90.449295,1.727157,0.267261,98.136826,0.728189,213065,11202,0.31782,89.118576,0.021337,41.511063,32.184692,37.604008,0.65501,0.664917,418.759186,0.915869,0.481041,1.906936,0.719875,0.7289,0.387788
Monosit,134292,4419,0.315793,108.358429,0.08642,71.129669,6.884696,54.514076,1.088236,0.486294,59.652233,0.851919,254497,8325,0.320882,104.293434,0.046145,63.279591,44.950722,56.659851,0.907892,0.528711,222.700043,0.882269,0.301415,1.647651,0.663961,0.527676,0.530811
Monosit,119294,4272,0.312938,115.623596,0.082142,114.669456,3.277399,74.539848,1.490446,0.25261,55.448902,0.806027,153229,4392,0.321415,80.726501,0.099822,32.685104,17.829332,25.127876,0.619021,0.730136,204.157043,0.910614,0.496624,2.17737,0.806222,0.778534,0.972678
Monosit,137774,4401,0.318344,115.479599,0.089387,109.89978,2.759605,69.77166,1.427525,0.273817,46.085819,0.8127,189392,5139,0.326518,89.39106,0.090119,41.612682,22.083454,31.317146,0.739805,0.66835,185.405991,0.897873,0.476022,2.045074,0.645313,0.727454,0.856392
Monosit,160499,5733,0.31663,110.035065,0.061365,136.056152,2.112239,91.314148,1.647557,0.157213,51.612568,0.778365,200089,6966,0.319091,79.44075,0.051816,33.219772,15.70704,25.79917,0.643154,0.714098,211.316574,0.906383,0.605542,2.769565,0.606364,0.802138,0.822997
Monosit,138527,7221,0.295732,108.600494,0.033385,81.143417,1.82244,57.793999,1.078811,0.409479,46.094193,0.866715,268063,17844,0.304436,106.647903,0.010579,75.694191,42.038002,62.479973,1.216508,0.431782,362.054535,0.824992,0.358702,2.904666,0.602582,0.51677,0.404674
Monosit,191782,6222,0.303406,110.917625,0.062253,126.727699,1.533492,82.022858,1.521443,0.18929,43.057011,0.810104,240079,5835,0.328587,79.489258,0.08861,32.410004,15.327299,24.374023,0.62189,0.727495,156.375473,0.914933,0.567167,2.674978,0.693051,0.798829,1.066324
Monosit,147809,6330,0.305198,114.555183,0.046356,120.74826,6.162516,93.180779,1.565518,0.223407,70.837349,0.768337,199017,8304,0.320839,87.262711,0.036268,41.189224,22.291561,33.310871,0.742858,0.658919,255.567581,0.895883,0.526875,2.985849,0.8602,0.742695,0.762283
Monosit,83102,4128,0.290075,105.11097,0.061283,71.88047,2.496395,51.211765,1.051397,0.461043,47.1628,0.872435,115755,8790,0.261174,73.097305,0.018827,27.618855,15.886698,23.705841,0.52846,0.755241,260.576294,0.925596,0.31939,2.00194,0.293274,0.717913,0.469625
Monosit,122956,4686,0.317366,112.843506,0.070365,98.919754,2.925913,72.196144,1.304839,0.318207,49.286869,0.829029,186887,20100,0.298305,93.817108,0.005813,50.617733,34.702919,45.419861,0.860428,0.583805,623.497314,0.886294,0.435255,2.204139,0.630185,0.657916,0.233134
Monosit,147544,6084,0.30374,107.039604,0.05009,82.762825,2.587221,56.535038,1.157245,0.389586,48.965855,0.85381,280052,12894,0.308055,104.342995,0.021168,74.234344,41.835674,59.468575,1.185073,0.432642,271.066315,0.831611,0.374728,2.423904,0.609295,0.526845,0.471847
Monosit,153472,5778,0.315344,111.213432,0.057768,96.992462,2.951,67.324181,1.32165,0.320621,46.074039,0.829098,252673,6366,0.326169,101.339485,0.078349,63.087917,30.882584,51.058098,1.024199,0.512775,169.160324,0.854836,0.432814,2.423658,0.680413,0.607394,0.907634
Monosit,161127,5778,0.316583,110.47406,0.060649,123.443695,2.385564,81.990562,1.563683,0.19754,53.115036,0.789233,204933,6498,0.319642,78.800415,0.060991,33.198914,16.482403,25.375845,0.652247,0.71142,203.548645,0.904774,0.55627,2.670055,0.60919,0.786242,0.889197
Monosit,109586,6798,0.275397,104.112839,0.029799,64.809525,3.785809,49.64843,0.961258,0.516267,49.220005,0.871007,232027,23454,0.290168,104.015007,0.0053,69.967255,47.316402,61.591465,1.093027,0.461155,538.266296,0.857817,0.279556,2.697619,0.476182,0.472298,0.289844
Monosit,145617,7746,0.302392,101.906326,0.030498,90.279053,4.04654,65.869888,1.340793,0.311084,57.232979,0.815646,230719,8880,0.318009,90.015358,0.036768,52.892448,29.681921,42.518257,1.013204,0.542142,252.393433,0.864279,0.440463,3.3649,0.706673,0.631144,0.872297
Monosit,102114,7935,0.298207,111.597527,0.02038,92.906754,8.2162,70.159462,1.418112,0.343586,108.425827,0.788569,186320,9417,0.317894,105.333809,0.026402,75.030006,49.379902,68.746841,1.241366,0.427407,436.863708,0.83015,0.41011,3.975451,0.548382,0.548057,0.842625
Monosit,112829,4788,0.316999,116.192314,0.061848,99.569809,11.982881,79.804184,1.492685,0.329168,87.335892,0.772288,191756,6834,0.317773,106.806908,0.051595,69.263519,45.392452,60.083057,1.055134,0.48748,324.533539,0.854507,0.423863,2.319767,0.573694,0.588399,0.700615
Monosit,106081,5031,0.291084,113.768959,0.052667,94.214226,7.902873,72.599297,1.411426,0.348088,85.426788,0.789808,177404,11277,0.314062,100.265961,0.01753,60.868103,44.384583,57.727428,0.978133,0.516423,473.318726,0.867546,0.407552,2.444606,0.500491,0.597963,0.446129
Monosit,133960,5961,0.304647,116.656143,0.047375,115.686516,8.941864,84.185326,1.64786,0.251004,80.020592,0.747162,199789,5526,0.326783,99.495857,0.082217,56.445843,31.140018,45.490608,0.957111,0.563941,241.996643,0.863482,0.496424,2.868624,0.585797,0.670507,1.078719
Monosit,132291,6906,0.308541,114.146454,0.034857,93.66925,4.224635,64.881905,1.318999,0.353755,60.358849,0.809743,222202,10752,0.313057,103.768097,0.024153,63.642597,34.811405,51.231754,1.081981,0.517968,322.64325,0.841913,0.402933,3.013089,0.496071,0.595364,0.642299
Monosit,130537,7572,0.287995,114.065155,0.02861,104.901039,2.941983,70.428017,1.404126,0.290315,61.872047,0.805284,208554,7857,0.31912,101.905556,0.042454,62.53743,32.169258,50.012379,1.106487,0.517608,256.156921,0.836114,0.459072,3.548266,0.353997,0.625915,0.963727
Monosit,159244,5208,0.314606,89.324547,0.073779,97.842407,5.158585,67.878662,1.564246,0.205295,41.267719,0.773572,189923,8853,0.315631,54.973019,0.030451,18.785933,12.023183,15.322588,0.470718,0.790291,195.331177,0.935921,0.547411,2.413346,0.560193,0.838466,0.588275
Monosit,168932,8880,0.284255,86.574867,0.026921,61.575336,6.403705,43.861446,1.144964,0.436728,41.966331,0.834128,331694,21198,0.295892,84.439545,0.009276,58.319366,40.447605,49.289597,1.128515,0.446717,280.45755,0.85386,0.337045,3.135593,0.399023,0.509301,0.418907
Monosit,130797,4740,0.299753,89.361664,0.073156,82.78949,2.692929,48.723873,1.342064,0.287292,34.193935,0.821484,202346,9309,0.315195,77.746017,0.029343,45.084965,28.229832,37.333015,0.95893,0.54814,217.277405,0.865387,0.463615,2.227444,0.530736,0.646403,0.509185
Monosit,158803,4773,0.312773,90.035515,0.087596,102.093796,4.045029,65.993118,1.602765,0.190037,36.161533,0.768672,197260,10098,0.31032,61.552567,0.02431,24.375195,15.389091,20.379597,0.568834,0.735673,192.09082,0.924423,0.564693,2.249293,0.528105,0.805044,0.472668
Monosit,142752,4539,0.319572,75.015671,0.087071,79.967682,1.676319,47.549801,1.381435,0.218396,17.293188,0.807285,192502,7386,0.323359,60.297405,0.044343,28.714802,15.539974,20.573832,0.750937,0.653217,112.855904,0.89302,0.535109,2.196999,0.762378,0.741561,0.614541
Monosit,137536,5079,0.308279,86.115242,0.066999,81.808472,2.212935,52.857071,1.328146,0.273035,26.358887,0.817328,202389,10332,0.317212,77.435417,0.023825,41.563133,23.458403,32.041592,0.905118,0.590626,221.020782,0.87743,0.477317,2.364525,0.589077,0.679563,0.49158
Monosit,173075,5424,0.317261,103.996346,0.073927,91.013481,5.401909,62.893509,1.365613,0.318891,49.869026,0.808952,273033,13836,0.308565,91.564262,0.017923,52.933945,33.845375,42.285091,0.917441,0.552758,270.694183,0.875928,0.434703,2.14897,0.698861,0.633898,0.392021
Monosit,166403,6654,0.310951,101.670807,0.047229,81.033844,8.549301,60.123962,1.354558,0.370141,55.058418,0.795115,331311,16977,0.313552,102.08979,0.014445,80.679214,59.648762,70.574997,1.311974,0.369296,375.293671,0.820097,0.389788,2.545524,0.473515,0.502256,0.391942
